AddressLine1,AddressLine2,AddressLine3,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,PostCode,RatingDate,RatingKey,RatingValue,SchemeType,longitude,latitude,Hygiene,Structural,ConfidenceInManagement
,,,(ki:ts),Retailers - other,4613,0,1916465,LKNM9H-V40BYF-WAVKXY,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U,2026-03-04,fhrs_5_en-gb,5,FHRS,,,0.0,0.0,0.0
,,,*Eatlife,Other catering premises,7841,0,1301468,20/00541/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1H,2025-04-17,fhrs_5_en-gb,5,FHRS,,,0.0,0.0,0.0
3 BERKELEY STREET,,LONDON,1 Hotel Mayfair,Restaurant/Cafe/Canteen,1,0,1688813,GL6QH0-M4M5Q6-S02TKX,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1J 8DJ,2026-01-21,fhrs_5_en-gb,5,FHRS,-0.1422003,51.5076479,5.0,0.0,5.0
1-4 LEICESTER SQUARE,,LONDON,1 Leicester Square Rooftop Bar and Restaurant,Restaurant/Cafe/Canteen,1,0,1898862,HQ202C-1TV3G5-ZN9YQ3,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2H 7NA,2026-01-09,fhrs_5_en-gb,5,FHRS,-0.1306709,51.510837,5.0,5.0,0.0
1 WARWICK STREET,,LONDON,1 Warwick,Restaurant/Cafe/Canteen,1,0,1559410,22/00661/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1B 5LR,2025-04-29,fhrs_5_en-gb,5,FHRS,-0.1372907,51.5107175,0.0,0.0,0.0
BASEMENT AND GROUND FLOOR 10 GREEK STREET,,LONDON,10 Greek Street,Restaurant/Cafe/Canteen,1,0,413781,01382/0010/0/002,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 4DH,2025-09-13,fhrs_5_en-gb,5,FHRS,-2.9987615,56.6744508,0.0,5.0,0.0
BASEMENT CENTURY HOUSE 100-102 OXFORD STREET,,LONDON,100 Club,Restaurant/Cafe/Canteen,1,0,427714,00159/0100/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 1LL,2024-05-07,fhrs_5_en-gb,5,FHRS,-0.1353078,51.5162165,0.0,5.0,0.0
101 WESTBOURNE GROVE,,LONDON,101 West,Retailers - other,4613,0,1590023,23/00068/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 4UW,2025-09-26,fhrs_5_en-gb,5,FHRS,-0.193249,51.5151144,5.0,5.0,5.0
104 CHEPSTOW ROAD,,LONDON,104 Restaurant,Restaurant/Cafe/Canteen,1,0,1209754,19/00523/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 5QS,2023-12-01,fhrs_5_en-gb,5,FHRS,-0.1960861,51.5188216,5.0,5.0,5.0
,,,106 Baker Street,Restaurant/Cafe/Canteen,1,0,743933,01123/0106/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U,2025-05-14,fhrs_5_en-gb,5,FHRS,,,5.0,5.0,5.0
12 HAY HILL,,LONDON,12 Hay Hill,Restaurant/Cafe/Canteen,1,0,1317137,18/00075/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1J 8NR,2025-10-14,fhrs_5_en-gb,5,FHRS,-0.1437663,51.5090884,0.0,5.0,0.0
170 QUEEN'S GATE,,LONDON,170 Queens Gate,School/college/university,7845,0,1870924,MHG3MK-VEJEZ5-YFVV29,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW7 5HF,2025-11-10,fhrs_5_en-gb,5,FHRS,-0.1790583,51.4979923,0.0,0.0,0.0
180 STRAND,,LONDON,180 Pizza,Restaurant/Cafe/Canteen,1,0,1411839,01576/0180/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2R 1EA,2022-06-16,fhrs_5_en-gb,5,FHRS,-0.1150843,51.5124221,0.0,0.0,5.0
